title,genres,releaseYear,imdbAverageRating,imdbNumVotes
Ariel,"Comedy, Crime, Drama",1988,7.4,9230
Shadows in Paradise,"Comedy, Drama, Music",1986,7.4,8064
Forrest Gump,"Drama, Romance",1994,8.8,2389376
American Beauty,Drama,1999,8.3,1251975
The Fifth Element,"Action, Adventure, Sci-Fi",1997,7.6,528673
Jarhead,"Biography, Drama, War",2005,7,216420
Unforgiven,"Drama, Western",1992,8.2,456006
Eternal Sunshine of the Spotless Mind,"Drama, Romance, Sci-Fi",2004,8.3,1140643
Amores Perros,"Drama, Thriller",2000,8,268380
A History of Violence,"Action, Crime, Drama",2005,7.4,265248
Talk to Her,"Drama, Mystery, Romance",2002,7.9,120139
8 Mile,"Drama, Music",2002,7.2,339409
Paradise Now,"Crime, Drama, Thriller",2005,7.4,24540
Million Dollar Baby,"Drama, Sport",2004,8.1,748279
Billy Elliot,"Drama, Music",2000,7.7,148311
American History X,"Crime, Drama",1998,8.5,1234813
Mars Attacks!,"Comedy, Sci-Fi",1996,6.4,252809
Before Sunrise,"Comedy, Drama, Romance",1995,8.1,360793
Memento,"Mystery, Thriller",2000,8.4,1383662
Hero,"Action, Adventure, Drama",2002,7.9,191040
Before Sunset,"Drama, Romance",2004,8.1,303379
Nausicaä of the Valley of the Wind,"Adventure, Animation, Sci-Fi",1984,8,191270
Open Water,"Adventure, Drama, Horror",2003,5.8,58000
Raiders of the Lost Ark,"Action, Adventure",1981,8.4,1077983
Indiana Jones and the Temple of Doom,"Action, Adventure",1984,7.5,553771
Dirty Dancing,"Drama, Music, Romance",1987,7.1,270301
Indiana Jones and the Last Crusade,"Action, Adventure",1989,8.2,841172
Beverly Hills Cop,"Action, Comedy, Crime",1984,7.4,224731
Beverly Hills Cop II,"Action, Comedy, Crime",1987,6.6,143910
Gladiator,"Action, Adventure, Drama",2000,8.5,1767648
All About My Mother,"Comedy, Drama, Romance",1999,7.8,107096
Léon: The Professional,"Action, Crime, Drama",1994,8.5,1306995
Open Hearts,"Drama, Romance",2002,7.5,11340
Taxi Driver,"Crime, Drama",1976,8.2,983021
Run Lola Run,"Action, Crime, Thriller",1998,7.6,213849
Back to the Future,"Adventure, Comedy, Sci-Fi",1985,8.5,1383570
Snatch,"Comedy, Crime",2000,8.2,948889
Scarface,"Crime, Drama",1983,8.3,970487
Italian for Beginners,"Comedy, Drama, Romance",2000,7,14248
The Untouchables,"Crime, Drama, Thriller",1987,7.8,344550
Charlie and the Chocolate Factory,"Adventure, Comedy, Family",2005,6.7,552762
The Lord of the Rings: The Fellowship of the Ring,"Adventure, Drama, Fantasy",2001,8.9,2116800
The Lord of the Rings: The Two Towers,"Adventure, Drama, Fantasy",2002,8.8,1880759
The Lord of the Rings: The Return of the King,"Adventure, Drama, Fantasy",2003,9,2086332
Princess Mononoke,"Adventure, Animation, Fantasy",1997,8.3,462592
Spirited Away,"Adventure, Animation, Family",2001,8.6,915365
"O Brother, Where Art Thou?","Adventure, Comedy, Crime",2000,7.7,342210
Groundhog Day,"Comedy, Drama, Fantasy",1993,8,718960
Bad Education,"Crime, Drama",2004,7.4,65026
Donnie Darko,"Drama, Mystery, Sci-Fi",2001,8,885013
Brokeback Mountain,"Drama, Romance",2005,7.7,402486
"Crouching Tiger, Hidden Dragon","Action, Adventure, Drama",2000,7.9,288669
Akira,"Animation, Drama, Fantasy",1988,8,216706
48 Hrs.,"Action, Comedy, Crime",1982,6.9,90032
Lost in Translation,"Comedy, Drama",2003,7.7,512231
The Dark Knight,"Action, Crime, Drama",2008,9,3032907
Ocean's Eleven,"Crime, Thriller",2001,7.7,649323
Ocean's Twelve,"Crime, Thriller",2004,6.5,427956
Back to the Future Part II,"Adventure, Comedy, Sci-Fi",1989,7.8,599822
Saw,"Horror, Mystery, Thriller",2004,7.6,491372
Minority Report,"Action, Crime, Mystery",2002,7.6,604384
Jackie Brown,"Crime, Drama, Thriller",1997,7.5,390883
Sin City,"Crime, Thriller",2005,8,808982
Sin City: A Dame to Kill For,"Action, Crime, Thriller",2014,6.5,175212
The Name of the Rose,"Drama, Mystery, Thriller",1986,7.7,123127
Amélie,"Comedy, Romance",2001,8.3,820480
Back to the Future Part III,"Adventure, Comedy, Sci-Fi",1990,7.5,502124
Saw III,"Horror, Mystery, Thriller",2006,6.2,221819
Saw II,"Horror, Mystery",2005,6.6,288617
Indiana Jones and the Kingdom of the Crystal Skull,"Action, Adventure",2008,6.2,504191
Volver,"Comedy, Drama",2006,7.6,110500
Syriana,"Drama, Thriller",2005,6.9,136702
Stand by Me,"Adventure, Comedy, Drama",1986,8.1,466362
The Godfather,"Crime, Drama",1972,9.2,2134781
The Godfather Part II,"Crime, Drama",1974,9,1436342
In China They Eat Dogs,"Action, Comedy, Crime",1999,7.3,23922
Ghost,"Drama, Fantasy, Romance",1990,7.1,248466
Willy Wonka & the Chocolate Factory,"Adventure, Comedy, Family",1971,7.8,237727
King Kong,"Action, Adventure, Romance",2005,7.2,460427
Live Flesh,Drama,1997,7.3,34853
Batman,"Action, Adventure",1989,7.5,420666
Batman Begins,"Action, Crime, Drama",2005,8.2,1651616
The Shawshank Redemption,Drama,1994,9.3,3058098
Terminator 2: Judgment Day,"Action, Adventure, Sci-Fi",1991,8.6,1237365
A River Runs Through It,Drama,1992,7.2,68004
Meet Joe Black,"Drama, Fantasy, Romance",1998,7.2,284674
Ocean's Thirteen,"Crime, Thriller",2007,6.9,378604
Rio Bravo,Western,1959,8,71244
Swimming Pool,"Crime, Drama, Mystery",2003,6.7,50164
Beverly Hills Cop III,"Action, Comedy, Crime",1994,5.5,97773
"Rome, Open City","Drama, Thriller, War",1945,8,32245
Bruce Almighty,"Comedy, Fantasy",2003,6.8,454256
Mystic River,"Crime, Drama, Mystery",2003,7.9,505435
Jurassic Park,"Action, Adventure, Sci-Fi",1993,8.2,1123871
The Lost World: Jurassic Park,"Action, Adventure, Sci-Fi",1997,6.6,460556
Jurassic Park III,"Action, Adventure, Sci-Fi",2001,5.9,353925
Once Upon a Time in the West,"Drama, Western",1968,8.5,369868
Night on Earth,"Comedy, Drama",1991,7.7,68940
Eyes Wide Shut,"Drama, Mystery, Thriller",1999,7.5,401464
Batman Returns,"Action, Crime, Fantasy",1992,7.1,340798
Das Boot,"Drama, War",1981,8.4,280071
Inside Man,"Crime, Drama, Mystery",2006,7.6,414381
A Fistful of Dollars,"Drama, Western",1964,7.9,245137
Chocolat,"Drama, Romance",2000,7.2,207023
Basic Instinct,"Drama, Mystery, Thriller",1992,7.1,233110
Driving Miss Daisy,"Comedy, Drama",1989,7.3,121401
Summer in Berlin,Drama,2005,6.9,3058
8½,Drama,1963,8,129619
The Pianist,"Biography, Drama, Music",2002,8.5,971838
Schindler's List,"Biography, Drama, History",1993,9,1530289
Vertigo,"Mystery, Romance, Thriller",1958,8.2,446506
The Day After Tomorrow,"Action, Adventure, Sci-Fi",2004,6.5,498196
La Dolce Vita,"Comedy, Drama",1960,8,82772
Sissi,"Comedy, Drama, History",1955,7,10602
Sissi: The Young Empress,"Drama, History",1956,6.6,7729
Sissi: The Fateful Years of an Empress,"Drama, History, Romance",1957,6.6,6322
Erin Brockovich,"Biography, Drama",2000,7.5,235221
As It Is in Heaven,"Comedy, Drama, Music",2004,7.5,18779
My Own Private Idaho,Drama,1991,6.9,64710
Stranger Than Paradise,"Comedy, Drama",1984,7.4,42166
Shaft,"Action, Crime, Thriller",2000,6,83285
The African Queen,"Adventure, Drama, Romance",1951,7.7,87006
Good Will Hunting,"Drama, Romance",1997,8.3,1143243
The Seventh Seal,"Drama, Fantasy",1957,8.1,209464
The Green Mile,"Crime, Drama, Fantasy",1999,8.6,1492055
Reservoir Dogs,"Crime, Thriller",1992,8.3,1135880
Poseidon,"Action, Adventure, Thriller",2006,5.7,113329
Monster,"Biography, Crime, Drama",2003,7.3,168300
Marnie,"Crime, Drama, Mystery",1964,7.1,56341
Love Actually,"Comedy, Drama, Romance",2003,7.6,559605
Notting Hill,"Comedy, Drama, Romance",1999,7.2,366888
One Flew Over the Cuckoo's Nest,Drama,1975,8.7,1121260
Casino,"Crime, Drama",1995,8.2,595036
The Blues Brothers,"Adventure, Comedy, Crime",1980,7.9,222692
Once Were Warriors,"Crime, Drama",1994,7.9,38269
Wallace & Gromit: A Close Shave,"Animation, Comedy, Crime",1995,8.1,46742
Wallace & Gromit: The Curse of the Were-Rabbit,"Adventure, Animation, Comedy",2005,7.5,153807
Terminator Salvation,"Action, Adventure, Sci-Fi",2009,6.5,386468
Flashdance,"Drama, Music, Romance",1983,6.2,62138
Psycho,"Drama, Horror, Mystery",1960,8.5,755507
D.E.B.S.,"Action, Comedy, Romance",2004,5.4,18925
Rashomon,"Crime, Drama, Mystery",1950,8.2,190255
Dogville,"Crime, Drama",2003,8,164601
Spider-Man,"Action, Adventure, Sci-Fi",2002,7.4,926786
Spider-Man 2,"Action, Adventure, Sci-Fi",2004,7.5,749657
Spider-Man 3,"Action, Adventure, Sci-Fi",2007,6.3,671455
Constantine,"Action, Fantasy, Horror",2005,7,394416
Starship Troopers,"Action, Adventure, Sci-Fi",1997,7.3,336207
The Mummy,"Action, Adventure, Fantasy",1999,7.1,483739
Rear Window,"Drama, Mystery, Thriller",1954,8.5,549266
Apollo 13,"Adventure, Drama, History",1995,7.7,327175
The Birds,"Drama, Horror, Mystery",1963,7.6,213627
Next Door,"Mystery, Thriller",2005,6.4,10972
Frenzy,"Drama, Thriller",1972,7.4,51631
The Man Who Knew Too Much,"Crime, Drama, Mystery",1956,7.4,73093
The Lives of Others,"Drama, Mystery, Thriller",2006,8.4,429103
Monty Python's Life of Brian,Comedy,1979,8,429456
2 Fast 2 Furious,"Action, Crime, Thriller",2003,5.9,311434
Big Fish,"Adventure, Drama, Fantasy",2003,8,470138
Silent Hill,"Horror, Mystery",2006,6.5,253304
The Da Vinci Code,"Mystery, Thriller",2006,6.6,473995
The Conversation,"Drama, Mystery, Thriller",1974,7.7,131543
The Terminal,"Comedy, Drama, Romance",2004,7.4,515513
Titanic,"Drama, Romance",1997,7.9,1343479
City of God,"Crime, Drama",2002,8.6,840451
Full Metal Jacket,"Drama, War",1987,8.2,824739
The Matrix,"Action, Sci-Fi",1999,8.7,2163359
The Matrix Reloaded,"Action, Sci-Fi",2003,7.2,653582
The Matrix Revolutions,"Action, Sci-Fi",2003,6.7,562023
Men in Black,"Action, Adventure, Comedy",1997,7.3,642128
Men in Black II,"Action, Adventure, Comedy",2002,6.2,419906
Munich,"Drama, History, Thriller",2005,7.5,247700
Wild Strawberries,"Drama, Romance",1957,8.1,120986
The Passion of the Christ,Drama,2004,7.3,263911
The Last Samurai,"Action, Drama",2003,7.8,490690
Wild Things,"Crime, Drama, Mystery",1998,6.6,136774
The Bodyguard,"Drama, Music, Romance",1992,6.4,154378
Ghostbusters,"Action, Comedy, Fantasy",1984,7.8,471873
Grease,"Comedy, Musical, Romance",1978,7.2,315791
The Ninth Gate,"Mystery, Thriller",1999,6.7,204968
Easy Rider,"Adventure, Drama",1969,7.2,120813
Interview with the Vampire,"Drama, Fantasy, Horror",1994,7.5,363969
The Usual Suspects,"Crime, Drama, Mystery",1995,8.5,1193729
